goals_scored,assists,total_points,minutes,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,season,full_name,position
3,2,42,600,5,6,2,0,4,1.1,65,2024-2025,Gabriel Fernando de Jesus,3
3,2,117,2363,22,9,10,0,4,13.2,62,2024-2025,Gabriel dos Santos Magalhães,1
9,3,96,1839,20,14,7,0,4,5.8,77,2024-2025,Kai Havertz,3
1,3,114,2415,21,9,11,0,7,6.1,57,2024-2025,Jurriën Timber,1
0,0,19,700,7,0,2,0,5,0.2,46,2024-2025,Jorge Luiz Frello Filho,2
1,0,32,757,10,0,2,0,0,1.3,48,2024-2025,Jakub Kiwior,1
7,4,111,1949,20,6,9,0,1,2.5,65,2024-2025,Gabriel Martinelli Silva,2
4,2,63,804,3,4,4,0,1,1.8,45,2024-2025,Ethan Nwaneri,2
2,6,90,2036,17,7,10,0,4,5.1,82,2024-2025,Martin Ødegaard,2
0,0,130,3060,29,9,12,0,2,28.5,56,2024-2025,David Raya Martin,0
2,7,105,2570,27,12,10,1,5,3.5,62,2024-2025,Declan Rice,2
6,11,119,1450,17,18,6,0,3,19.8,105,2024-2025,Bukayo Saka,2
2,0,127,2814,25,14,12,1,2,29.5,66,2024-2025,William Saliba,1
4,3,99,2433,25,8,8,0,4,0.7,49,2024-2025,Thomas Partey,2
8,6,136,2265,23,16,10,1,2,3.3,67,2024-2025,Leandro Trossard,2
0,1,37,853,8,0,4,0,2,2.2,61,2024-2025,Benjamin White,1
0,1,36,443,0,2,4,0,1,0.9,48,2024-2025,Oleksandr Zinchenko,1
0,2,23,424,3,0,1,0,1,0.8,67,2024-2025,Raheem Sterling,2
2,1,37,921,12,1,1,0,4,1.2,58,2024-2025,Riccardo Calafiori,1
1,0,30,1072,12,0,4,2,2,0.4,45,2024-2025,Myles Lewis-Skelly,2
6,2,85,1391,13,8,4,0,2,2.7,61,2024-2025,Mikel Merino,2
1,2,46,1131,19,2,2,0,3,0.7,62,2024-2025,Leon Bailey,2
3,1,41,552,9,5,1,0,3,0.2,52,2024-2025,Ross Barkley,2
1,1,57,1709,20,1,4,0,6,1.1,44,2024-2025,Matty Cash,1
0,0,21,828,15,1,2,0,1,0.3,45,2024-2025,Diego Carlos Santos Silva,1
0,5,81,2239,36,6,5,0,4,5.7,45,2024-2025,Lucas Digne,1
7,0,53,622,14,9,2,1,3,1.6,57,2024-2025,Jhon Durán,3
0,0,39,1367,21,1,3,0,2,0.0,50,2024-2025,Boubacar Kamara,2
1,0,76,2576,43,7,5,0,0,6.4,44,2024-2025,Ezri Konsa Ngoyo,1
1,2,43,874,14,0,1,0,2,1.4,45,2024-2025,Ian Maatsen,1
0,0,90,2880,45,2,5,0,4,11.4,50,2024-2025,Emiliano Martínez Romero,0
1,3,65,1987,34,1,5,0,7,0.7,52,2024-2025,John McGinn,2
0,1,41,1050,11,5,3,0,1,0.2,44,2024-2025,Tyrone Mings,1
0,0,41,1729,31,2,3,0,1,0.7,42,2024-2025,Pau Torres,1
1,4,64,1480,24,3,4,0,2,0.3,54,2024-2025,Jacob Ramsey,2
8,9,145,2764,39,15,7,0,9,20.2,57,2024-2025,Morgan Rogers,2
2,7,109,2915,44,12,6,0,4,1.2,55,2024-2025,Youri Tielemans,2
15,7,168,2258,38,29,7,0,2,17.6,89,2024-2025,Ollie Watkins,3
1,0,33,851,12,0,3,0,3,0.4,42,2024-2025,Axel Disasi,1
3,0,55,1345,23,5,3,0,4,2.1,48,2024-2025,Amadou Onana,2
6,4,95,1414,15,9,7,0,2,6.5,67,2024-2025,Marcus Rashford,2
0,0,6,473,11,0,0,0,2,0.2,39,2024-2025,Lamare Bogarde,1
0,0,8,316,5,0,0,0,0,0.1,45,2024-2025,Andrés García,1
3,2,37,477,8,6,1,0,1,3.0,62,2024-2025,Marco Asensio,2
0,3,48,1524,24,1,5,0,6,0.1,49,2024-2025,Tyler Adams,2
2,1,46,798,11,2,2,0,3,0.0,49,2024-2025,David Brooks,2
2,3,76,2114,28,5,8,0,9,0.1,49,2024-2025,Ryan Christie,2
1,4,78,2706,38,3,5,0,8,0.2,50,2024-2025,Lewis Cook,2
2,1,32,330,3,4,2,0,2,0.1,54,2024-2025,Enes Ünal,3
0,1,17,443,9,0,1,0,1,0.5,39,2024-2025,James Hill,1
2,6,121,2897,40,10,8,0,4,19.3,53,2024-2025,Milos Kerkez,1
12,6,149,2024,26,14,11,0,7,13.0,60,2024-2025,Justin Kluivert,2
7,4,108,1835,21,7,7,0,2,1.5,47,2024-2025,Dango Ouattara,2
0,0,21,603,7,0,2,0,2,0.0,47,2024-2025,Alex Scott,2
8,6,132,2823,37,10,9,0,9,7.5,57,2024-2025,Antoine Semenyo,2
0,0,23,1007,16,3,1,0,5,0.3,46,2024-2025,Marcos Senesi,1
0,0,48,1316,15,0,5,0,5,0.1,44,2024-2025,Adam Smith,1
3,6,74,1554,23,3,3,0,5,0.2,54,2024-2025,Marcus Tavernier,2
0,0,19,450,5,1,1,0,0,0.1,44,2024-2025,Mark Travers,0
0,0,77,2662,36,6,7,1,3,0.5,44,2024-2025,Illia Zabarnyi,1
0,0,91,2340,33,7,7,0,3,3.9,46,2024-2025,Kepa Arrizabalaga,0
2,1,90,2050,25,14,7,0,7,4.6,45,2024-2025,Dean Huijsen,1
0,0,9,358,7,0,0,0,1,0.1,43,2024-2025,Julián Araujo Zúñiga,1
9,4,114,1900,25,19,10,0,0,5.2,58,2024-2025,Francisco Evanilson de Lima Barbosa,3
0,0,38,1387,21,0,3,0,4,0.2,44,2024-2025,Kristoffer Ajer,1
2,6,104,2970,50,7,6,0,5,2.8,45,2024-2025,Nathan Collins,1
2,9,116,2495,36,10,9,0,2,1.2,50,2024-2025,Mikkel Damsgaard,2
0,1,110,2825,48,7,5,0,1,8.7,44,2024-2025,Mark Flekken,0
1,3,73,2251,38,2,6,0,3,0.2,48,2024-2025,Vitaly Janelt,2
0,2,33,759,15,1,2,0,2,0.1,53,2024-2025,Mathias Jensen,2
1,5,86,2712,44,0,7,0,5,0.1,50,2024-2025,Keane Lewis-Potter,2
18,7,210,2965,48,28,7,0,2,37.7,80,2024-2025,Bryan Mbeumo,2
5,2,86,2370,38,4,4,1,5,0.2,48,2024-2025,Christian Nørgaard,2
2,0,47,1912,35,0,2,0,2,0.3,44,2024-2025,Ethan Pinnock,1
0,2,36,1100,20,0,2,0,2,0.1,43,2024-2025,Mads Roerslev Rasmussen,1
7,4,112,1918,29,7,8,0,3,0.7,51,2024-2025,Kevin Schade,2
15,5,159,2471,38,28,7,0,2,14.4,65,2024-2025,Yoane Wissa,3
0,0,33,1024,20,0,1,0,4,2.3,43,2024-2025,Yehor Yarmoliuk,2
2,1,35,443,14,1,0,0,1,0.4,45,2024-2025,Fábio Freitas Gouveia Carvalho,2
0,1,47,2134,42,1,3,0,2,1.4,41,2024-2025,Sepp van den Berg,1
2,2,48,812,19,0,1,0,0,0.3,51,2024-2025,Simon Adingra,2
2,1,68,2222,34,4,7,1,6,0.1,50,2024-2025,Carlos Baleba,2
0,1,41,1901,39,0,4,0,5,2.4,42,2024-2025,Lewis Dunk,1
1,1,52,2039,39,6,2,0,5,1.6,49,2024-2025,Pervis Estupiñán,1
2,2,60,1593,28,5,5,0,4,0.1,49,2024-2025,Jack Hinshelwood,2
0,0,17,900,16,0,1,0,4,0.1,43,2024-2025,Igor Julio dos Santos de Paulo,1
10,6,126,1946,28,26,6,1,4,11.0,56,2024-2025,João Pedro Junqueira de Jesus,3
2,2,40,762,20,1,2,0,0,0.2,44,2024-2025,Tariq Lamptey,1
5,5,85,1461,28,6,3,0,6,1.2,49,2024-2025,Yankuba Minteh,2
8,4,128,2489,39,12,6,0,1,7.6,64,2024-2025,Mitoma Kaoru,2
1,1,75,2600,43,6,6,1,6,0.8,45,2024-2025,Jan Paul van Hecke,1
0,0,58,1642,23,7,6,0,4,1.1,43,2024-2025,Joël Veltman,1
0,1,87,2790,52,5,6,0,5,2.8,46,2024-2025,Bart Verbruggen,0
0,0,26,615,8,0,3,0,0,0.1,43,2024-2025,Adam Webster,1
9,4,108,1756,32,18,6,0,4,7.2,55,2024-2025,Danny Welbeck,3
1,3,38,590,17,4,1,0,4,0.1,47,2024-2025,Mats Wieffer,2
0,1,23,489,11,0,1,0,0,0.0,54,2024-2025,Brajan Gruda,2
0,1,53,1639,22,0,6,0,3,0.0,50,2024-2025,Yasin Ayari,2
5,6,95,1651,29,1,6,0,2,0.3,50,2024-2025,Georginio Rutter,2
1,0,19,385,8,0,2,0,1,0.1,44,2024-2025,Ferdi Kadioglu,1
1,2,35,669,18,2,2,0,1,0.0,55,2024-2025,Matt O'Riley,2
0,0,15,426,12,0,0,0,0,0.0,55,2024-2025,Diego Gómez,2
0,0,7,332,5,0,0,0,0,0.1,42,2024-2025,Benoît Badiashile,1
1,3,82,2901,39,3,9,0,10,1.0,49,2024-2025,Moisés Caicedo Corozo,2
3,1,81,1715,23,8,5,0,2,0.8,44,2024-2025,Trevoh Chalobah,1
1,1,80,2700,38,3,7,0,8,2.8,44,2024-2025,Levi Colwill,1
4,2,101,2538,35,9,6,1,8,13.3,54,2024-2025,Marc Cucurella Saseta,1
5,7,113,2496,34,9,7,0,7,3.8,47,2024-2025,Enzo Fernández,2
0,1,56,1813,24,2,4,0,4,1.5,49,2024-2025,Malo Gusto,1
1,1,35,807,13,4,1,0,1,1.1,48,2024-2025,Reece James,1
0,1,16,538,10,0,1,0,4,0.4,45,2024-2025,Roméo Lavia,2
7,5,108,1641,26,12,3,0,3,3.2,60,2024-2025,Noni Madueke,2
9,6,113,2024,22,15,9,0,7,6.8,77,2024-2025,Nicolas Jackson,3
3,2,60,904,16,5,2,0,2,2.1,57,2024-2025,Christopher Nkunku,2
14,10,194,2743,38,32,7,0,6,38.2,106,2024-2025,Cole Palmer,2
0,0,101,2430,31,9,7,0,5,7.5,45,2024-2025,Robert Sánchez,0
1,1,57,1223,14,4,5,0,3,0.4,42,2024-2025,Tosin Adarabioyo,1
0,0,26,1172,13,2,2,0,7,0.2,43,2024-2025,Wesley Fofana,1
3,5,81,1648,22,3,6,0,1,1.0,62,2024-2025,Jadon Sancho,2
4,4,85,1825,22,9,5,0,8,1.6,61,2024-2025,Pedro Lomba Neto,2
0,0,18,540,9,0,1,0,0,0.5,42,2024-2025,Filip Jørgensen,0
1,2,24,362,4,0,1,0,2,0.4,59,2024-2025,João Félix Sequeira,2
1,2,38,866,14,1,2,1,3,0.6,59,2024-2025,Eddie Nketiah,3
0,1,19,443,6,0,1,0,1,0.0,48,2024-2025,Cheick Doucouré,2
1,1,57,1561,27,2,6,1,2,0.2,44,2024-2025,Chris Richards,1
0,0,18,477,11,0,1,0,1,0.1,43,2024-2025,Nathaniel Clyne,1
4,8,113,2338,33,9,8,0,1,11.3,69,2024-2025,Eberechi Eze,2
3,2,107,2879,41,10,10,1,7,6.2,47,2024-2025,Marc Guéhi,1
0,0,123,3060,47,8,10,0,3,11.8,46,2024-2025,Dean Henderson,0
0,4,59,1862,29,3,8,0,11,0.0,49,2024-2025,Will Hughes,2
0,0,40,1321,25,0,3,1,3,0.1,51,2024-2025,Daichi Kamada,2
0,1,51,2027,33,2,5,0,8,0.1,48,2024-2025,Jefferson Lerma Solís,2
14,2,144,2438,36,27,8,0,2,11.9,78,2024-2025,Jean-Philippe Mateta,3
0,4,107,2850,44,4,11,0,2,2.1,48,2024-2025,Tyrick Mitchell,1
4,5,127,2869,42,7,10,0,9,17.4,53,2024-2025,Daniel Muñoz,1
0,2,39,1254,21,0,3,0,2,0.1,47,2024-2025,Adam Wharton,2
7,5,127,2389,35,12,9,0,4,6.4,58,2024-2025,Ismaïla Sarr,2
1,0,28,418,6,1,0,0,1,0.1,45,2024-2025,Justin Devenny,2
1,2,103,2756,41,9,10,0,5,0.9,45,2024-2025,Maxence Lacroix,1
0,0,12,327,2,0,2,0,1,0.1,53,2024-2025,Armando Broja,3
3,1,83,2335,31,5,10,1,3,0.4,51,2024-2025,Abdoulaye Doucouré,2
6,0,67,1115,21,9,2,0,2,3.2,48,2024-2025,Norberto Bercique Gomes Betuncal,3
0,1,77,2166,24,3,8,0,4,1.5,48,2024-2025,Jarrad Branthwaite,1
3,2,59,1571,17,3,8,0,2,1.0,54,2024-2025,Dominic Calvert-Lewin,3
0,3,78,2614,35,5,10,0,8,0.2,48,2024-2025,Idrissa Gueye,2
0,1,32,1140,15,0,3,0,3,0.0,49,2024-2025,James Garner,2
1,3,72,1819,24,4,6,0,0,0.2,52,2024-2025,Jack Harrison,2
0,1,20,555,16,0,0,0,4,0.6,43,2024-2025,Tim Iroegbunam,2
2,0,32,850,19,3,2,0,5,4.2,38,2024-2025,Michael Keane,1
3,6,71,1155,23,6,4,0,1,1.1,51,2024-2025,Dwight McNeil,2
0,2,94,2632,35,6,9,0,2,5.0,43,2024-2025,Vitalii Mykolenko,1
7,0,95,2113,21,18,13,0,3,0.8,52,2024-2025,Iliman Ndiaye,3
0,1,132,2970,40,12,10,0,7,14.7,51,2024-2025,Jordan Pickford,0
1,1,105,2922,38,8,10,0,6,2.6,49,2024-2025,James Tarkowski,1
1,4,82,1578,22,8,7,1,6,1.5,43,2024-2025,Ashley Young,1
1,1,23,449,6,3,0,0,3,0.1,47,2024-2025,Carlos Alcaraz Durán,2
0,1,44,1229,14,0,6,0,2,0.1,50,2024-2025,Jesper Lindstrøm,2
2,0,50,1208,14,4,3,0,4,0.4,45,2024-2025,Jake O'Brien,1
1,0,39,1257,10,0,5,0,2,0.0,50,2024-2025,Orel Mangala,2
1,1,27,483,9,2,1,0,1,0.0,50,2024-2025,Reiss Nelson,2
5,2,98,1823,24,13,7,0,2,7.4,51,2024-2025,Emile Smith Rowe,2
0,0,45,2223,38,3,4,1,6,3.5,42,2024-2025,Joachim Andersen,1
2,5,78,1509,22,6,3,0,2,1.4,45,2024-2025,Adama Traoré,2
2,6,76,1826,27,2,5,0,8,0.9,49,2024-2025,Andreas Hoelgebaum Pereira,2
1,0,70,2714,40,0,5,0,6,0.7,45,2024-2025,Calvin Bassey,1
1,0,23,473,10,0,1,1,3,0.0,48,2024-2025,Tom Cairney,2
0,1,45,1619,28,0,3,0,1,1.1,42,2024-2025,Timothy Castagne,1
0,0,31,1334,19,0,1,0,2,0.2,43,2024-2025,Issa Diop,1
9,5,144,2637,37,16,6,0,1,8.7,55,2024-2025,Alex Iwobi,2
0,2,101,2970,45,5,5,0,4,6.1,50,2024-2025,Bernd Leno,0
0,2,49,2038,32,1,4,0,12,0.0,48,2024-2025,Saša Lukić,2
