full_name,predicted_points,now_cost,ownership,total_points,minutes,position
Chris Wood,186.48505,70.0,29.3,184,2508,FWD
Morgan Rogers,145.18748,55.0,20.2,145,2764,MID
Alex Iwobi,142.84549,55.0,8.7,144,2637,MID
Matz Sels,141.63152,50.0,19.8,141,2970,GK
Antoine Semenyo,134.68263,55.0,7.5,132,2823,MID
Nikola Milenković,130.09372,50.0,17.4,131,2880,DEF
Dean Henderson,122.685135,45.0,11.8,123,3060,GK
Murillo Santiago Costa dos Santos,115.99737,45.0,5.1,116,2838,DEF
Enzo Fernández,112.44363,45.0,3.8,113,2496,MID
Marc Guéhi,111.470634,45.0,6.2,107,2879,DEF
Maxence Lacroix,104.73998,45.0,0.9,103,2756,DEF
Nathan Collins,104.055626,45.0,2.8,104,2970,DEF
